rank,symbol,name,industry,score_total,score_revenue,score_expectation_gap,score_price_volume,score_theme_group,score_chip,score_catalyst,risk_penalty,score_raw_available_norm,score_coverage_adjusted,score_cap,stage,entry_zone,reasons,risk_flags,last_close,ret_20d,ret_60d,volume_z_20,volume_expansion_ratio,rs_20d,rs_60d,breakout_flag,breakout_120d_flag,ma_alignment_bull_flag,mode,score_data_coverage_ratio,robot_slot_coverage_ratio,robot_slot_statuses,available_radars,degraded_radars,core_data_ready_flag,created_at
41,6214,精誠,,37.35,55.0,100.0,38.0,,35.0,25.0,10.0,55.7059,37.35,100.0,S1,watch_only,"[""成交量為 20 日均量 1.2 倍，屬於有效放量區"", ""均線結構轉為多頭排列"", ""價量轉強但尚未完全過熱，預期差仍可接受""]","[""注意股，短線風險升高""]",144.5,0.15139442231075706,0.3196347031963471,0.22126929492395486,1.2235313105928636,,,0,0,1,full_short_term_radar,0.85,1.0,"{""PRICE_SLOT"": ""installed"", ""UNIVERSE_SLOT"": ""installed"", ""REVENUE_SLOT"": ""installed"", ""CHIP_SLOT"": ""installed"", ""SURVEILLANCE_SLOT"": ""installed"", ""CATALYST_SLOT"": ""installed"", ""CORPORATE_SLOT"": ""installed"", ""FINANCIAL_SLOT"": ""installed"", ""VALUATION_SLOT"": ""installed"", ""CALENDAR_SLOT"": ""installed""}","[""revenue"", ""expectation_gap"", ""price_volume"", ""chip"", ""catalyst""]","[""theme_group""]",1,2026-06-09T08:14:56
42,1447,力鵬,,36.85,55.0,100.0,13.0,,5.0,0.0,0.0,43.3529,36.85,100.0,S1,watch_only,"[""站上 20 日與 60 日均線"", ""價量轉強但尚未完全過熱，預期差仍可接受""]",[],6.41,0.29494949494949485,0.1697080251258376,-0.3323428981455756,0.7682118909097743,,,0,0,0,full_short_term_radar,0.85,1.0,"{""PRICE_SLOT"": ""installed"", ""UNIVERSE_SLOT"": ""installed"", ""REVENUE_SLOT"": ""installed"", ""CHIP_SLOT"": ""installed"", ""SURVEILLANCE_SLOT"": ""installed"", ""CATALYST_SLOT"": ""installed"", ""CORPORATE_SLOT"": ""installed"", ""FINANCIAL_SLOT"": ""installed"", ""VALUATION_SLOT"": ""installed"", ""CALENDAR_SLOT"": ""installed""}","[""revenue"", ""expectation_gap"", ""price_volume"", ""chip"", ""catalyst""]","[""theme_group""]",1,2026-06-09T08:14:56
43,2105,正新,,36.85,25.0,100.0,38.0,,30.0,,0.0,49.1333,36.85,100.0,S1,watch_only,"[""成交量為 20 日均量 2.4 倍，屬於有效放量區"", ""均線結構轉為多頭排列"", ""價量轉強但尚未完全過熱，預期差仍可接受""]","[""catalyst 缺資料，缺少 1-6 個月重估催化劑""]",34.1,0.06230529595015577,0.2092198254410811,1.8862384932344636,2.391655585696094,,,0,0,1,full_short_term_radar,0.75,1.0,"{""PRICE_SLOT"": ""installed"", ""UNIVERSE_SLOT"": ""installed"", ""REVENUE_SLOT"": ""installed"", ""CHIP_SLOT"": ""installed"", ""SURVEILLANCE_SLOT"": ""installed"", ""CATALYST_SLOT"": ""installed"", ""CORPORATE_SLOT"": ""installed"", ""FINANCIAL_SLOT"": ""installed"", ""VALUATION_SLOT"": ""installed"", ""CALENDAR_SLOT"": ""installed""}","[""revenue"", ""expectation_gap"", ""price_volume"", ""chip""]","[""theme_group"", ""catalyst""]",0,2026-06-09T08:14:56
44,2382,廣達,,36.85,65.0,100.0,38.0,,30.0,,10.0,62.4667,36.85,100.0,S1,watch_only,"[""成交量為 20 日均量 1.4 倍，屬於有效放量區"", ""均線結構轉為多頭排列"", ""價量轉強但尚未完全過熱，預期差仍可接受""]","[""注意股，短線風險升高"", ""catalyst 缺資料，缺少 1-6 個月重估催化劑""]",390.5,0.1468428781204112,0.3823008849557523,0.4996527730279801,1.3555918149574373,,,0,0,1,full_short_term_radar,0.75,1.0,"{""PRICE_SLOT"": ""installed"", ""UNIVERSE_SLOT"": ""installed"", ""REVENUE_SLOT"": ""installed"", ""CHIP_SLOT"": ""installed"", ""SURVEILLANCE_SLOT"": ""installed"", ""CATALYST_SLOT"": ""installed"", ""CORPORATE_SLOT"": ""installed"", ""FINANCIAL_SLOT"": ""installed"", ""VALUATION_SLOT"": ""installed"", ""CALENDAR_SLOT"": ""installed""}","[""revenue"", ""expectation_gap"", ""price_volume"", ""chip""]","[""theme_group"", ""catalyst""]",0,2026-06-09T08:14:56
45,2912,統一超,,36.6,40.0,100.0,23.0,,20.0,,0.0,48.8,36.6,100.0,S1,watch_only,"[""均線結構轉為多頭排列"", ""價量轉強但尚未完全過熱，預期差仍可接受""]","[""catalyst 缺資料，缺少 1-6 個月重估催化劑""]",232.0,0.0,0.06666666666666665,-0.376941803498117,0.7133070926174375,,,0,0,1,full_short_term_radar,0.75,1.0,"{""PRICE_SLOT"": ""installed"", ""UNIVERSE_SLOT"": ""installed"", ""REVENUE_SLOT"": ""installed"", ""CHIP_SLOT"": ""installed"", ""SURVEILLANCE_SLOT"": ""installed"", ""CATALYST_SLOT"": ""installed"", ""CORPORATE_SLOT"": ""installed"", ""FINANCIAL_SLOT"": ""installed"", ""VALUATION_SLOT"": ""installed"", ""CALENDAR_SLOT"": ""installed""}","[""revenue"", ""expectation_gap"", ""price_volume"", ""chip""]","[""theme_group"", ""catalyst""]",0,2026-06-09T08:14:56
46,5607,遠雄港,,36.35,65.0,100.0,28.0,,45.0,,10.0,61.8,36.35,100.0,S1,watch_only,"[""成交量為 20 日均量 1.3 倍，屬於有效放量區"", ""站上 20 日與 60 日均線"", ""價量轉強但尚未完全過熱，預期差仍可接受""]","[""注意股，短線風險升高"", ""catalyst 缺資料，缺少 1-6 個月重估催化劑""]",53.3,0.026974951830443183,0.059642163189717934,0.6206742887566858,1.3030227974358612,,,0,0,0,full_short_term_radar,0.75,1.0,"{""PRICE_SLOT"": ""installed"", ""UNIVERSE_SLOT"": ""installed"", ""REVENUE_SLOT"": ""installed"", ""CHIP_SLOT"": ""installed"", ""SURVEILLANCE_SLOT"": ""installed"", ""CATALYST_SLOT"": ""installed"", ""CORPORATE_SLOT"": ""installed"", ""FINANCIAL_SLOT"": ""installed"", ""VALUATION_SLOT"": ""installed"", ""CALENDAR_SLOT"": ""installed""}","[""revenue"", ""expectation_gap"", ""price_volume"", ""chip""]","[""theme_group"", ""catalyst""]",0,2026-06-09T08:14:56
47,2882,國泰金,,36.1,50.0,100.0,63.0,,10.0,0.0,10.0,54.2353,36.1,100.0,S1,watch_only,"[""突破 120 日整理區"", ""成交量為 20 日均量 1.5 倍，屬於有效放量區"", ""均線結構轉為多頭排列"", ""價量轉強但尚未完全過熱，預期差仍可接受""]","[""注意股，短線風險升高""]",100.0,0.25,0.4064697910844246,1.371703733587998,1.4856108448216259,,,1,1,1,full_short_term_radar,0.85,1.0,"{""PRICE_SLOT"": ""installed"", ""UNIVERSE_SLOT"": ""installed"", ""REVENUE_SLOT"": ""installed"", ""CHIP_SLOT"": ""installed"", ""SURVEILLANCE_SLOT"": ""installed"", ""CATALYST_SLOT"": ""installed"", ""CORPORATE_SLOT"": ""installed"", ""FINANCIAL_SLOT"": ""installed"", ""VALUATION_SLOT"": ""installed"", ""CALENDAR_SLOT"": ""installed""}","[""revenue"", ""expectation_gap"", ""price_volume"", ""chip"", ""catalyst""]","[""theme_group""]",1,2026-06-09T08:14:56
48,6690,安碁資訊,,35.85,55.0,100.0,38.0,,45.0,,10.0,61.1333,35.85,100.0,S1,watch_only,"[""成交量為 20 日均量 1.3 倍，屬於有效放量區"", ""均線結構轉為多頭排列"", ""價量轉強但尚未完全過熱，預期差仍可接受""]","[""注意股，短線風險升高"", ""catalyst 缺資料，缺少 1-6 個月重估催化劑""]",182.0,0.07058823529411762,0.1234567901234569,0.22557207873809315,1.2630844382414514,,,0,0,1,full_short_term_radar,0.75,1.0,"{""PRICE_SLOT"": ""installed"", ""UNIVERSE_SLOT"": ""installed"", ""REVENUE_SLOT"": ""installed"", ""CHIP_SLOT"": ""installed"", ""SURVEILLANCE_SLOT"": ""installed"", ""CATALYST_SLOT"": ""installed"", ""CORPORATE_SLOT"": ""installed"", ""FINANCIAL_SLOT"": ""installed"", ""VALUATION_SLOT"": ""installed"", ""CALENDAR_SLOT"": ""installed""}","[""revenue"", ""expectation_gap"", ""price_volume"", ""chip""]","[""theme_group"", ""catalyst""]",0,2026-06-09T08:14:56
49,1449,佳和,,35.85,65.0,90.0,13.0,,55.0,35.0,10.0,53.9412,35.85,100.0,S1,watch_only,"[""站上 20 日與 60 日均線"", ""價量轉強但尚未完全過熱，預期差仍可接受""]","[""注意股，短線風險升高""]",13.55,0.04633204633204646,0.2843601663533404,-0.6249101273062825,0.5224680085501664,,,0,0,0,full_short_term_radar,0.85,1.0,"{""PRICE_SLOT"": ""installed"", ""UNIVERSE_SLOT"": ""installed"", ""REVENUE_SLOT"": ""installed"", ""CHIP_SLOT"": ""installed"", ""SURVEILLANCE_SLOT"": ""installed"", ""CATALYST_SLOT"": ""installed"", ""CORPORATE_SLOT"": ""installed"", ""FINANCIAL_SLOT"": ""installed"", ""VALUATION_SLOT"": ""installed"", ""CALENDAR_SLOT"": ""installed""}","[""revenue"", ""expectation_gap"", ""price_volume"", ""chip"", ""catalyst""]","[""theme_group""]",1,2026-06-09T08:14:56
50,2027,大成鋼,,35.85,65.0,90.0,23.0,,55.0,15.0,10.0,53.9412,35.85,100.0,S1,watch_only,"[""均線結構轉為多頭排列"", ""價量轉強但尚未完全過熱，預期差仍可接受""]","[""注意股，短線風險升高""]",43.8,0.10606060606060597,0.2016460653831771,-0.6885203736035707,0.7369679733573121,,,0,0,1,full_short_term_radar,0.85,1.0,"{""PRICE_SLOT"": ""installed"", ""UNIVERSE_SLOT"": ""installed"", ""REVENUE_SLOT"": ""installed"", ""CHIP_SLOT"": ""installed"", ""SURVEILLANCE_SLOT"": ""installed"", ""CATALYST_SLOT"": ""installed"", ""CORPORATE_SLOT"": ""installed"", ""FINANCIAL_SLOT"": ""installed"", ""VALUATION_SLOT"": ""installed"", ""CALENDAR_SLOT"": ""installed""}","[""revenue"", ""expectation_gap"", ""price_volume"", ""chip"", ""catalyst""]","[""theme_group""]",1,2026-06-09T08:14:56
